thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014904975891113281,0.03133082389831543,0.03133082389831543,0.03133082389831543,0.014694929122924805,121.26109027862549,1,[121.22744703292847],[121.22746920585632],0,,,[-63.0],[-488.0],[1],[0],[0],[121.24572134017944],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2616057395935,121.26167726516724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.26172375679016,121.27788853645325,123.2668046951294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,123.2829258441925,,,,,,,,,,,,,,,,,,,,,,,,,,123.26776576042175,123.2829258441925,123.2829258441925,124.7692666053772,129.70293855667114,space,4.914507150650024,None,129.70311856269836,129.71868228912354,129.71868228912354,131.20309233665466,138.0578978061676,space,6.848963499069214,None,138.058091878891,138.09159135818481,138.09159135818481,138.09159135818481,138.09159135818481,138.09159135818481,138.09159135818481,138.09159135818481,138.09159135818481,138.09159135818481,139.56062364578247,148.15492248535156,space,8.58745288848877,None,148.1551215648651,148.17413687705994,148.17413687705994,148.17413687705994,149.65468883514404,156.0140736103058,space,6.357422113418579,None,156.0142331123352,156.03297591209412,156.03297591209412,157.5273802280426,158.34649777412415,space,0.8128013610839844,None,158.34669518470764,158.36060428619385,158.36060428619385,159.5122561454773,space,1.147399663925171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
0,0,0,critical,whd,35.0,4.0,upper,125.0,200.0,200.0,125.0,127.0,127.0,1,5.0326502323150635,None,,,,,0,0,0,0,0,0,0,89,159.58975958824158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,127.0,127.0,4.0,4.2,-258,16,0,-257,222,-7,159.57298636436462,159.57303547859192,159.57425212860107,159.58975958824158,159.74042749404907,159.74042749404907,159.74042749404907,159.74042749404907,159.74042749404907,159.74042749404907,159.74042749404907,164.62790894508362,1,5.0326502323150635,None,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
1,1,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,4.454332113265991,None,,,,,0,0,0,0,0,1,1,189,164.6455113887787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34553149491097,150.621036851742,123.05965842244107,60.51757158904475,155.3348443204573,155.3348443204573,3.0,3.1,-202,280,0,19,204,-277,164.62955355644226,164.62963390350342,164.63273096084595,164.6455113887787,164.79784750938416,164.79784750938416,164.79784750938416,164.79784750938416,164.79784750938416,164.79784750938416,164.79784750938416,169.11537909507751,3,4.454332113265991,None,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
2,2,0,filler_random,None,None,None,None,None,None,None,None,None,None,3,3.2726504802703857,None,,,,,0,0,0,0,0,2,2,169,169.13122248649597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.39338715387832,165.51282944375953,84.39527399864872,130.11399153004464,149.52182696992466,192.47304849340446,3.0,3.2,-244,-252,0,-5,257,255,169.11718320846558,169.11732244491577,169.12076830863953,169.13122248649597,169.28464078903198,169.28464078903198,169.28464078903198,169.28464078903198,169.28464078903198,169.28464078903198,169.28464078903198,172.41972875595093,3,3.2726504802703857,None,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
3,3,0,catch,None,None,None,None,None,None,None,None,None,None,1,4.350099086761475,None,,,,,0,0,0,0,0,3,3,129,172.437805891037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,138,127,63,118,72,1.0,1.3,284,-287,480,-284,644,-271,172.42226219177246,172.42234921455383,172.425297498703,172.437805891037,172.58376502990723,172.58376502990723,172.58376502990723,172.58376502990723,172.58376502990723,172.58376502990723,172.58376502990723,176.8038136959076,1,4.350099086761475,None,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
4,4,0,filler_random,None,None,None,None,None,None,None,None,None,None,3,3.032874345779419,None,,,,,0,0,0,0,0,4,4,161,176.81952595710754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.91899620591511,118.61615735115181,66.91096763169135,92.0986586300052,157.08062357824298,199.78224723846765,2.1,2.11,-201,283,0,275,242,-287,176.80564045906067,176.8057644367218,176.80914616584778,176.81952595710754,176.96855425834656,176.96855425834656,176.96855425834656,176.96855425834656,176.96855425834656,176.96855425834656,176.96855425834656,179.85451579093933,3,3.032874345779419,None,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
5,5,0,critical,whd,35.0,2.1,upper,125.0,200.0,200.0,125.0,127.0,127.0,1,5.6039063930511475,None,,,,,0,0,0,0,0,5,5,37,179.87196588516235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,127.0,127.0,2.1,2.12,-258,-259,0,-254,222,261,179.85636520385742,179.85648345947266,179.86037421226501,179.87196588516235,180.01945781707764,180.01945781707764,180.01945781707764,180.01945781707764,180.01945781707764,180.01945781707764,180.01945781707764,185.4912393093109,1,5.6039063930511475,None,,,,,,,,,,,,,,,,,,166,2,2025-02-28_14h18.28.277,comp,2024.2.4,None,2025-02-28 14h18.44.509451 -0500,
