thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015019655227661133,0.03777575492858887,0.03777575492858887,0.03777575492858887,0.014842510223388672,23.35400891304016,1,[23.313812732696533],[23.31383490562439],0,,,[-81.0],[-505.0],[1],[0],[0],[23.338570594787598],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35456156730652,23.35462760925293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.354671955108643,23.37011408805847,25.37218999862671,25.35459566116333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,25.37218999862671,,,,,,,,,,,,,,,,,,,,,,,,,,,25.355453729629517,25.37218999862671,25.37218999862671,26.859864711761475,29.7425754070282,space,2.866182804107666,None,29.74272584915161,29.757867097854614,29.757867097854614,31.261083126068115,36.6606183052063,space,5.384932041168213,None,36.66076731681824,36.69336748123169,36.69336748123169,36.69336748123169,36.69336748123169,36.69336748123169,36.69336748123169,36.69336748123169,36.69336748123169,36.69336748123169,38.15966582298279,42.653505086898804,space,4.478361129760742,None,42.65366768836975,42.67042112350464,42.67042112350464,42.67042112350464,44.162874937057495,54.08205962181091,space,9.915380954742432,None,54.08221650123596,54.09839844703674,54.09839844703674,55.582669496536255,55.96635174751282,space,0.36733222007751465,None,55.96655225753784,55.98548984527588,55.98548984527588,57.35161328315735,space,1.3571929931640625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
0,0,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,9.883549213409424,None,,,,,0,0,0,0,0,0,0,163,57.42645454406738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.34334808298402,116.03784130593053,173.55724650105827,87.77392487110076,62.48574426916546,77.54443819775989,2.2,2.22,-198,276,0,-288,179,-286,57.410253286361694,57.41029453277588,57.41149830818176,57.42645454406738,57.57553267478943,57.57553267478943,57.57553267478943,57.57553267478943,57.57553267478943,57.57553267478943,57.57553267478943,67.32157158851624,2,9.883549213409424,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
1,1,0,critical,hdw,35.0,2.1,upper,200.0,125.0,127.0,127.0,125.0,200.0,3,7.515345811843872,None,,,,,0,0,0,0,0,1,1,21,67.33860993385315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,127.0,127.0,125.0,200.0,2.1,2.11,-222,277,0,278,260,-285,67.32323789596558,67.32339763641357,67.3268415927887,67.33860993385315,67.48891139030457,67.48891139030457,67.48891139030457,67.48891139030457,67.48891139030457,67.48891139030457,67.48891139030457,74.85688161849976,3,7.515345811843872,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
2,2,0,critical,hwd,20.0,1.0,upper,200.0,125.0,125.0,200.0,141.0,141.0,2,10.525048732757568,None,,,,,0,0,0,0,0,2,2,103,74.87287974357605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,125.0,200.0,141.0,141.0,1.0,1.2,-258,8,0,-3,266,-9,74.8585045337677,74.85858106613159,74.86200404167175,74.87287974357605,75.03072762489319,75.03072762489319,75.03072762489319,75.03072762489319,75.03072762489319,75.03072762489319,75.03072762489319,85.41133213043213,2,10.525048732757568,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
3,3,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,9.482566595077515,None,,,,,0,0,0,0,0,3,3,137,85.42762017250061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.21446045765325,136.5653446089425,144.11306546081215,180.3866344768388,106.32223623622264,196.34422875815667,2.2,2.21,-254,-272,0,268,284,268,85.41313648223877,85.41321849822998,85.41612792015076,85.42762017250061,85.57687616348267,85.57687616348267,85.57687616348267,85.57687616348267,85.57687616348267,85.57687616348267,85.57687616348267,94.92214441299438,2,9.482566595077515,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
4,4,0,filler_square,None,None,None,None,None,None,None,None,None,None,2,3.0552027225494385,None,,,,,0,0,0,0,0,4,4,186,94.94272184371948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.03814479845408,106.21037736827157,196.51429351495545,196.51429351495545,58.516559655375914,57.682738058582316,4.0,4.1,-247,-263,0,19,223,-253,94.9239730834961,94.92405200004578,94.92699933052063,94.94272184371948,95.08241820335388,95.08241820335388,95.08241820335388,95.08241820335388,95.08241820335388,95.08241820335388,95.08241820335388,98.01284074783325,2,3.0552027225494385,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
5,5,0,critical,dhw,35.0,4.0,upper,127.0,127.0,200.0,125.0,125.0,200.0,3,4.65738582611084,None,,,,,0,0,0,0,0,5,5,53,98.02865648269653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,127.0,200.0,125.0,125.0,200.0,4.0,4.2,-222,17,0,-262,258,12,98.0143826007843,98.0144567489624,98.01739740371704,98.02865648269653,98.16505551338196,98.16505551338196,98.16505551338196,98.16505551338196,98.16505551338196,98.16505551338196,98.16505551338196,102.69920229911804,3,4.65738582611084,None,,,,,,,,,,,,,,,,,,225,2,2025-03-10_13h23.15.922,comp,2024.2.4,None,2025-03-10 13h24.08.628212 -0400,
