thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,print_config.started,print_effect.started,print_config_1.started,print_distance.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017116308212280273,0.04539084434509277,0.04539084434509277,0.04539084434509277,0.016748428344726562,1.8732657432556152,1,[1.826082706451416],[1.8260960578918457],0,,,[-58.0],[-484.0],[1],[0],[0],[1.8551013469696045],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8735435009002686,1.8739879131317139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8740308284759521,1.8882324695587158,3.885148525238037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3.9019815921783447,,,,,,,,,,,,,,,,,,,,,,,,,,3.8856945037841797,3.9019815921783447,3.9019815921783447,5.385162591934204,5.603293180465698,space,0.20048856735229492,None,5.6033735275268555,5.61875319480896,5.61875319480896,7.118486642837524,7.269935369491577,space,0.1386713981628418,None,7.270012617111206,7.291901588439941,7.291901588439941,7.291901588439941,7.291901588439941,7.291901588439941,7.291901588439941,7.291901588439941,7.291901588439941,7.291901588439941,8.785602331161499,8.803658246994019,space,0.0005762577056884766,None,8.803762674331665,8.819129943847656,8.819129943847656,8.819129943847656,10.318626165390015,10.63659405708313,space,0.30761265754699707,None,10.636698722839355,10.652006387710571,10.652006387710571,12.151725053787231,12.486793518066406,space,0.3321061134338379,None,12.486916542053223,12.501935958862305,12.501935958862305,13.619682550430298,space,1.1083192825317383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
0,0,0,critical,whd,60.0,2.1,upper,125.0,200.0,200.0,125.0,100.0,100.0,2,4.166390895843506,None,,,,,0,0,0,0,0,0,0,39,13.701587200164795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,100.0,100.0,2.1,2.12,-258,-279,0,-287,208,282,13.664706945419312,13.665297269821167,13.689391613006592,13.701587200164795,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,13.832011461257935,17.886902570724487,2,4.166390895843506,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
1,1,0,filler_square,None,None,None,None,None,None,None,None,None,None,1,0.8925676345825195,None,,,,,0,0,0,0,0,1,1,192,17.91776990890503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.61861148551801,82.82396676588215,172.55096824455313,138.80340415427864,187.38247183077465,187.38247183077465,1.0,1.2,-207,-10,0,-18,259,-19,17.8878333568573,17.888341665267944,17.9063081741333,17.91776990890503,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.055729627609253,18.820619344711304,1,0.8925676345825195,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
2,2,0,critical,dwh,45.0,4.0,lower,65.0,65.0,57.0,133.0,133.0,57.0,2,0.7280378341674805,None,,,,,0,0,0,0,0,2,2,64,18.85023021697998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,57.0,133.0,133.0,57.0,4.0,4.1,-195,-258,0,-8,191,-255,18.82139801979065,18.821828365325928,18.838409662246704,18.85023021697998,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,18.988728046417236,19.58689308166504,2,0.7280378341674805,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
3,3,0,catch,None,None,None,None,None,None,None,None,None,None,3,1.7610218524932861,None,,,,,0,0,0,0,0,3,3,127,19.61710810661316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,86,130,60,191,134,2.1,2.11,-169,264,0,270,193,-268,19.58802032470703,19.588600397109985,19.604602336883545,19.61710810661316,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,19.759007215499878,21.386904001235962,3,1.7610218524932861,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
4,4,0,filler_square,None,None,None,None,None,None,None,None,None,None,2,1.2904014587402344,None,,,,,0,0,0,0,0,4,4,170,21.41616129875183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.10357275530613,122.10357275530613,82.44069464678725,115.62706761688466,84.2671083331742,75.75789797376324,2.1,2.11,-215,271,0,251,192,-269,21.387842655181885,21.38835072517395,21.40414547920227,21.41616129875183,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,21.555641889572144,22.72009563446045,2,1.2904014587402344,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
5,5,0,critical,dhw,45.0,2.1,upper,117.0,117.0,200.0,125.0,125.0,200.0,2,1.061877965927124,None,,,,,0,0,0,0,0,5,5,1,22.74862504005432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,200.0,125.0,125.0,200.0,2.1,2.11,-217,255,0,271,258,-282,22.7208731174469,22.721330642700195,22.73692011833191,22.74862504005432,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,22.88871121406555,23.82013511657715,2,1.061877965927124,None,,,,,,,,,,,,,,,,,,99999,99999,2025-02-07_13h43.02.637,comp,2024.2.4,60.071553583551264,2025-02-07 13h43.12.426993 -0500,
