effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3
critical,dhw,35,2.1,lower,70,70,133,57,57,133
critical,dhw,35,2.1,upper,127,127,200,125,125,200
critical,dhw,20,2.1,lower,78,78,133,57,57,133
critical,dhw,20,2.1,upper,141,141,200,125,125,200
critical,dwh,35,2.1,lower,70,70,57,133,133,57
critical,dwh,35,2.1,upper,127,127,125,200,200,125
critical,dwh,20,2.1,lower,78,78,57,133,133,57
critical,dwh,20,2.1,upper,141,141,125,200,200,125
critical,wdh,35,2.1,lower,57,133,70,70,133,57
critical,wdh,35,2.1,upper,125,200,127,127,200,125
critical,wdh,20,2.1,lower,57,133,78,78,133,57
critical,wdh,20,2.1,upper,125,200,141,141,200,125
critical,whd,35,2.1,lower,57,133,133,57,70,70
critical,whd,35,2.1,upper,125,200,200,125,127,127
critical,whd,20,2.1,lower,57,133,133,57,78,78
critical,whd,20,2.1,upper,125,200,200,125,141,141
critical,hwd,35,2.1,lower,133,57,57,133,70,70
critical,hwd,35,2.1,upper,200,125,125,200,127,127
critical,hwd,20,2.1,lower,133,57,57,133,78,78
critical,hwd,20,2.1,upper,200,125,125,200,141,141
critical,hdw,35,2.1,lower,133,57,70,70,57,133
critical,hdw,35,2.1,upper,200,125,127,127,125,200
critical,hdw,20,2.1,lower,133,57,78,78,57,133
critical,hdw,20,2.1,upper,200,125,141,141,125,200
critical,dhw,35,2.1,lower,70,70,133,57,57,133
critical,dhw,35,2.1,upper,127,127,200,125,125,200
critical,dhw,20,2.1,lower,78,78,133,57,57,133
critical,dhw,20,2.1,upper,141,141,200,125,125,200
critical,dwh,35,2.1,lower,70,70,57,133,133,57
critical,dwh,35,2.1,upper,127,127,125,200,200,125
critical,dwh,20,2.1,lower,78,78,57,133,133,57
critical,dwh,20,2.1,upper,141,141,125,200,200,125
critical,wdh,35,2.1,lower,57,133,70,70,133,57
critical,wdh,35,2.1,upper,125,200,127,127,200,125
critical,wdh,20,2.1,lower,57,133,78,78,133,57
critical,wdh,20,2.1,upper,125,200,141,141,200,125
critical,whd,35,2.1,lower,57,133,133,57,70,70
critical,whd,35,2.1,upper,125,200,200,125,127,127
critical,whd,20,2.1,lower,57,133,133,57,78,78
critical,whd,20,2.1,upper,125,200,200,125,141,141
critical,hwd,35,2.1,lower,133,57,57,133,70,70
critical,hwd,35,2.1,upper,200,125,125,200,127,127
critical,hwd,20,2.1,lower,133,57,57,133,78,78
critical,hwd,20,2.1,upper,200,125,125,200,141,141
critical,hdw,35,2.1,lower,133,57,70,70,57,133
critical,hdw,35,2.1,upper,200,125,127,127,125,200
critical,hdw,20,2.1,lower,133,57,78,78,57,133
critical,hdw,20,2.1,upper,200,125,141,141,125,200
critical,dhw,35,1,lower,70,70,133,57,57,133
critical,dhw,35,1,upper,127,127,200,125,125,200
critical,dhw,35,3,lower,70,70,133,57,57,133
critical,dhw,35,3,upper,127,127,200,125,125,200
critical,dhw,35,4,lower,70,70,133,57,57,133
critical,dhw,35,4,upper,127,127,200,125,125,200
critical,dhw,20,1,lower,78,78,133,57,57,133
critical,dhw,20,1,upper,141,141,200,125,125,200
critical,dhw,20,3,lower,78,78,133,57,57,133
critical,dhw,20,3,upper,141,141,200,125,125,200
critical,dhw,20,4,lower,78,78,133,57,57,133
critical,dhw,20,4,upper,141,141,200,125,125,200
critical,dwh,35,1,lower,70,70,57,133,133,57
critical,dwh,35,1,upper,127,127,125,200,200,125
critical,dwh,35,3,lower,70,70,57,133,133,57
critical,dwh,35,3,upper,127,127,125,200,200,125
critical,dwh,35,4,lower,70,70,57,133,133,57
critical,dwh,35,4,upper,127,127,125,200,200,125
critical,dwh,20,1,lower,78,78,57,133,133,57
critical,dwh,20,1,upper,141,141,125,200,200,125
critical,dwh,20,3,lower,78,78,57,133,133,57
critical,dwh,20,3,upper,141,141,125,200,200,125
critical,dwh,20,4,lower,78,78,57,133,133,57
critical,dwh,20,4,upper,141,141,125,200,200,125
critical,wdh,35,1,lower,57,133,70,70,133,57
critical,wdh,35,1,upper,125,200,127,127,200,125
critical,wdh,35,3,lower,57,133,70,70,133,57
critical,wdh,35,3,upper,125,200,127,127,200,125
critical,wdh,35,4,lower,57,133,70,70,133,57
critical,wdh,35,4,upper,125,200,127,127,200,125
